Description_clean;total_sold;total_returned;sales_revenue;return_revenue;return_rate;anomaly_flag;impact_score
10 COLOUR SPACEBOY PEN;4500;172;3943,37;146,2;3,82;Normal;5,58
12 COLOURED PARTY BALLOONS;1835;20;1204,16;13,0;1,09;Normal;0,14
12 DAISY PEGS IN WOOD BOX;301;0;521,67;0,0;0,0;Normal;0,0
12 EGG HOUSE PAINTED WOOD;115;1;1959,42;12,75;0,87;Normal;0,11
12 HANGING EGGS HAND PAINTED;42;0;87,36;0,0;0,0;Normal;0,0
12 IVORY ROSE PEG PLACE SETTINGS;928;1;1426,85;1,25;0,11;Normal;0,0
12 MESSAGE CARDS WITH ENVELOPES;1635;1;2786,17;1,65;0,06;Normal;0,0
12 PENCIL SMALL TUBE WOODLAND;2994;4;2310,12;2,6;0,13;Normal;0,0
12 PENCILS SMALL TUBE RED RETROSPOT;5381;120;3569,47;78,0;2,23;Normal;1,74
12 PENCILS SMALL TUBE SKULL;6276;566;4072,43;367,9;9,02;Normal;33,18
12 PENCILS TALL TUBE POSY;3246;24;996,32;6,96;0,74;Normal;0,05
12 PENCILS TALL TUBE RED RETROSPOT;2203;3;1920,91;2,55;0,14;Normal;0,0
12 PENCILS TALL TUBE SKULLS;2024;4;1772,72;3,4;0,2;Normal;0,01
12 PENCILS TALL TUBE WOODLAND;1584;3;1409,07;2,55;0,19;Normal;0,0
12 PINK ROSE PEG PLACE SETTINGS;210;4;262,5;5,0;1,9;Normal;0,1
12 RED ROSE PEG PLACE SETTINGS;352;0;509,67;0,0;0,0;Normal;0,0
15 PINK FLUFFY CHICKS IN BOX;10;0;29,5;0,0;0,0;Normal;0,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS;1177;37;9607,71;276,15;3,14;Normal;8,67
16 PC CUTLERY SET PANTRY DESIGN;4;0;63,8;0,0;0,0;Normal;0,0
16 PIECE CUTLERY SET PANTRY DESIGN;152;2;2406,56;31,9;1,32;Normal;0,42
18PC WOODEN CUTLERY SET DISPOSABLE;406;0;550,13;0,0;0,0;Normal;0,0
2 DAISIES HAIR COMB;12;0;34,86;0,0;0,0;Normal;0,0
2 PICTURE BOOK EGGS EASTER BUNNY;166;0;236,54;0,0;0,0;Normal;0,0
2 PICTURE BOOK EGGS EASTER CHICKS;159;1;207,22;1,25;0,63;Normal;0,01
2 PICTURE BOOK EGGS EASTER DUCKS;120;0;160,89;0,0;0,0;Normal;0,0
20 DOLLY PEGS RETROSPOT;1750;14;2354,54;17,7;0,8;Normal;0,14
200 BENDY SKULL STRAWS;625;0;698,62;0,0;0,0;Normal;0,0
20713;0;400;0,0;0,0;;Suspicious Return;
3 BIRDS CANVAS SCREEN;2;0;2,04;0,0;0,0;Normal;0,0
3 BLACK CATS W HEARTS BLANK CARD;24;0;4,56;0,0;0,0;Normal;0,0
3 DRAWER ANTIQUE WHITE WOOD CABINET;700;29;6163,24;238,35;4,14;Normal;9,87
3 GARDENIA MORRIS BOXED CANDLES;492;7;889,02;20,75;1,42;Normal;0,29
3 HEARTS HANGING DECORATION RUSTIC;3047;25;10871,28;71,75;0,82;Normal;0,59
